#{"t_start": 1711990683.188729, "env_id": "None"}
r,l,t
355.0,355,2409.149581
45.0,45,2413.683834
442.0,442,2428.616657
459.0,459,2444.175519
432.0,432,2458.612318
471.0,471,2474.095172
47.0,47,2478.423414
563.0,563,2495.555359
440.0,440,2508.311065
639.0,639,2516.505517
639.0,639,2521.005768
639.0,639,2525.198
639.0,639,2529.677248
639.0,639,2533.633465
51.0,51,2537.528747
50.0,50,2541.875988
499.0,499,2556.696808
51.0,51,2561.065048
54.0,54,2565.146278
451.0,451,2578.672021
53.0,53,2582.807254
58.0,58,2587.2935
56.0,56,2591.224716
462.0,462,2605.121483
58.0,58,2609.445722
59.0,59,2613.726962
61.0,61,2618.169207
58.0,58,2622.543447
60.0,60,2626.866688
436.0,436,2640.910463
58.0,58,2645.656725
322.0,322,2656.158306
55.0,55,2660.656556
339.0,339,2672.142189
339.0,339,2683.35481
64.0,64,2687.725053
65.0,65,2692.368309
70.0,70,2696.945563
69.0,69,2701.63482
66.0,66,2706.303079
321.0,321,2717.262684
267.0,267,2726.893218
338.0,338,2738.560863
273.0,273,2747.883379
70.0,70,2752.531637
340.0,340,2764.234283
251.0,251,2772.954767
260.0,260,2782.113272
249.0,249,2790.887757
342.0,342,2801.202328
252.0,252,2809.734799
322.0,322,2819.925363
336.0,336,2830.304938
64.0,64,2834.619176
263.0,263,2844.1267
332.0,332,2854.854295
318.0,318,2864.641835
326.0,326,2875.267423
297.0,297,2885.140969
59.0,59,2889.466208
55.0,55,2893.796448
60.0,60,2898.214694
55.0,55,2902.600934
342.0,342,2913.546541
62.0,62,2918.113793
343.0,343,2929.006394
58.0,58,2932.097566
343.0,343,2935.559758
343.0,343,2939.247961
58.0,58,2942.245127
403.0,403,2955.321851
257.0,257,2964.866378
319.0,319,2975.185949
321.0,321,2986.399569
273.0,273,2996.340121
321.0,321,3007.248723
57.0,57,3011.781973
61.0,61,3016.169215
61.0,61,3020.829473
317.0,317,3031.769078
56.0,56,3036.264325
58.0,58,3040.478559
295.0,295,3051.172153
54.0,54,3055.370384
275.0,275,3065.535946
56.0,56,3069.788182
57.0,57,3074.062418
319.0,319,3084.297982
56.0,56,3088.516216
294.0,294,3097.410708
60.0,60,3102.085968
55.0,55,3106.094187
351.0,351,3117.069868
57.0,57,3121.515116
58.0,58,3125.771354
315.0,315,3136.27393
316.0,316,3146.703508
160.0,160,3153.202868
259.0,259,3162.622388
55.0,55,3167.065634
164.0,164,3173.978017
221.0,221,3181.863454
162.0,162,3188.736834
265.0,265,3197.856338
163.0,163,3204.324695
165.0,165,3211.281081
207.0,207,3219.310523
158.0,158,3226.358914
53.0,53,3230.753156
55.0,55,3234.897386
164.0,164,3242.20079
57.0,57,3246.869048
55.0,55,3251.08628
222.0,222,3259.705758
191.0,191,3267.672198
56.0,56,3271.976436
52.0,52,3276.254672
259.0,259,3285.741196
164.0,164,3292.713582
59.0,59,3297.117826
51.0,51,3301.182051
55.0,55,3305.515289
267.0,267,3315.126822
56.0,56,3319.470063
58.0,58,3323.898306
215.0,215,3332.07876
60.0,60,3336.175987
223.0,223,3344.93447
213.0,213,3353.247929
60.0,60,3357.689175
224.0,224,3365.633616
274.0,274,3372.651002
274.0,274,3376.149197
58.0,58,3379.628389
274.0,274,3382.997575
274.0,274,3386.406765
63.0,63,3390.793006
60.0,60,3395.587272
168.0,168,3401.820616
58.0,58,3406.24486
226.0,226,3414.00929
59.0,59,3418.341529
229.0,229,3426.263968
53.0,53,3430.370195
54.0,54,3434.473421
63.0,63,3439.113679
62.0,62,3443.423918
61.0,61,3447.951167
59.0,59,3452.376412
53.0,53,3456.440636
220.0,220,3464.630089
168.0,168,3471.439469
60.0,60,3475.629698
224.0,224,3483.889154
61.0,61,3488.189392
61.0,61,3492.434627
61.0,61,3496.780867
61.0,61,3501.247115
226.0,226,3509.936595
63.0,63,3514.835866
224.0,224,3523.374338
63.0,63,3527.73858
58.0,58,3532.123822
213.0,213,3540.347112
212.0,212,3548.596567
61.0,61,3552.985813
64.0,64,3557.458058
211.0,211,3565.476501
68.0,68,3570.098756
65.0,65,3574.432996
162.0,162,3581.314377
62.0,62,3585.69662
209.0,209,3594.295097
65.0,65,3599.011357
61.0,61,3603.494604
207.0,207,3611.92607
