#{"t_start": 1701801092.0889983, "env_id": "None"}
r,l,t
-774.528111,4001,10080.78249
-1542.767632,4001,10166.392505
-1461.717517,4001,10251.716373
-661.335968,4001,10336.995311
-627.004284,4001,10422.53583
-1434.708224,4001,10508.196744
-620.675784,4001,10593.350672
-471.017632,4001,10678.180505
-509.00987,4001,10762.352513
-1378.637519,4001,10836.718521
-1326.121125,4001,10916.468611
-446.599878,4001,11006.008655
-443.963924,4001,11096.439711
-509.925518,4001,11185.510729
-1238.098222,4001,11275.118737
-462.134726,4001,11364.577748
-487.304747,4001,11455.035759
-1301.400235,4001,11544.463765
-455.463841,4001,11633.900778
-1305.924543,4001,11724.194783
-457.371843,4001,11814.211792
-468.400239,4001,11902.778693
-1253.673429,4001,11992.021698
-1263.911898,4001,12080.223562
-432.537353,4001,12166.119409
-1249.174948,4001,12252.328544
-398.100686,4001,12342.006553
-386.282031,4001,12432.882565
-1218.96187,4001,12522.911572
-355.201682,4001,12612.54158
-1211.24315,4001,12701.598588
-333.956872,4001,12791.167631
-1177.925693,4001,12881.187639
-1216.559618,4001,12969.934648
-1200.918442,4001,13058.86066
-1153.358218,4001,13147.525668
-312.795061,4001,13236.593676
-326.667886,4001,13326.233686
-301.668534,4001,13415.930721
-294.796253,4001,13505.708775
-300.158208,4001,13594.923784
-287.002401,4001,13684.353791
-295.919536,4001,13774.040801
-304.016749,4001,13864.162809
-302.282923,4001,13953.01582
-1155.15344,4001,14040.143827
-1166.651062,4001,14126.379835
-278.108815,4001,14212.533843
-1150.419712,4001,14298.280854
-292.931173,4001,14384.021772
-1135.443877,4001,14469.37671
-1121.442298,4001,14554.348721
-1134.786321,4001,14639.582151
-1133.128928,4001,14724.876161
-1153.576844,4001,14809.817097
-1139.332362,4001,14895.332105
-1136.410238,4001,14983.814054
-308.242491,4001,15076.119061
-355.872362,4001,15167.691061
-312.05613,4001,15259.829572
-296.701479,4001,15351.882571
-307.748365,4001,15444.007572
-305.985615,4001,15536.185572
-325.778486,4001,15627.948571
-317.100947,4001,15717.0006
-1149.062039,4001,15804.68065
-278.252229,4001,15892.835649
-287.615834,4001,15983.246734
-291.605996,4001,16075.069734
-273.955841,4001,16167.110732
-1137.557322,4001,16258.849731
-1119.332356,4001,16350.289773
-287.711937,4001,16442.270772
-1138.89912,4001,16534.075774
-1144.560059,4001,16622.473775
-1122.097248,4001,16710.030772
-281.623542,4001,16797.925774
-289.236521,4001,16885.708772
-1136.655249,4001,16973.187775
-274.553677,4001,17061.398803
-271.924046,4001,17149.144803
-1149.899901,4001,17236.762803
-1118.872746,4001,17323.538806
-1112.973333,4001,17410.658804
-1133.682707,4001,17497.891803
-1099.747069,4001,17584.897811
-1098.842092,4001,17672.962805
-316.495063,4001,17759.981805
-311.514328,4001,17846.883804
-285.325346,4001,17933.909807
-288.745705,4001,18021.162804
-1129.621216,4001,18107.967804
-289.623084,4001,18194.623949
-282.923869,4001,18281.432245
-281.626155,4001,18373.252137
-266.361344,4001,18465.356059
-273.891297,4001,18557.357971
-260.400602,4001,18649.778935
-291.018412,4001,18741.652829
-294.563936,4001,18834.075301
-1106.836329,4001,18926.450258
-281.664875,4001,19018.416162
-298.781139,4001,19110.726112
-1095.621809,4001,19202.715144
-275.657163,4001,19291.846912
-304.374736,4001,19379.14447
-272.089925,4001,19466.854105
-1144.281022,4001,19554.304678
-287.532287,4001,19646.346647
-332.127157,4001,19738.675644
-327.434513,4001,19830.567605
-1151.352697,4001,19921.964515
-1129.093592,4001,20013.403434
-342.956254,4001,20105.212385
-1176.126477,4001,20196.546296
