#{"t_start": 1707317816.0819433, "env_id": "None"}
r,l,t
3327.655992,5000,47462.718799
3578.120106,5000,47549.093543
3892.014338,5000,47635.198285
3753.469649,5000,47721.317533
909.479433,5000,47807.581274
4162.76293,5000,47894.594035
3668.414099,5000,47981.538807
1422.667499,5000,48068.18644
3585.184352,5000,48154.650156
509.3882,5000,48241.510903
4109.818681,5000,48327.548643
4199.521781,5000,48413.821388
4220.242606,5000,48499.756127
4016.884569,5000,48586.864847
3963.715627,5000,48673.717555
3970.712556,5000,48762.547322
4089.1958,5000,48849.760073
4066.706958,5000,48937.441829
3846.580349,5000,49024.942579
4148.57141,5000,49112.778362
4069.175922,5000,49200.194109
3802.005507,5000,49288.27284
4235.581681,5000,49375.39959
3845.095788,5000,49463.294349
4012.951129,5000,49551.391104
4015.098643,5000,49639.409861
3935.302534,5000,49727.628618
3953.086925,5000,49815.400374
3959.353741,5000,49903.536136
3900.841755,5000,49991.810894
3843.382055,5000,50079.509568
3973.371514,5000,50167.732325
4004.550306,5000,50257.123098
3940.624391,5000,50344.140801
3917.986191,5000,50431.97657
4110.401469,5000,50519.415275
4093.037044,5000,50606.763004
3999.071836,5000,50693.866773
3993.39162,5000,50780.525468
3908.794626,5000,50868.599203
3883.34286,5000,50956.26094
3830.764538,5000,51043.963676
3750.414362,5000,51131.251409
3867.290618,5000,51218.265144
3942.43447,5000,51305.09791
3867.911352,5000,51392.217613
4024.932519,5000,51479.730351
4034.615852,5000,51566.90908
3883.359128,5000,51654.299849
3862.585549,5000,51741.848577
3728.209389,5000,51829.22122
3925.401164,5000,51917.251972
4028.198348,5000,52004.975744
3827.561679,5000,52092.611444
3895.995833,5000,52180.156183
3925.15218,5000,52268.008918
3933.850258,5000,52355.805659
4017.000378,5000,52443.753395
3987.758566,5000,52531.492135
4183.502165,5000,52619.219868
4201.556882,5000,52707.450636
4210.469412,5000,52794.696346
4150.830735,5000,52882.373082
3956.496279,5000,52970.347857
3942.311388,5000,53058.355559
3994.935925,5000,53146.119298
3999.771399,5000,53233.42504
4006.545629,5000,53321.340799
4030.193167,5000,53408.6935
3838.604944,5000,53495.613234
3998.376104,5000,53581.980958
3890.02055,5000,53669.178688
3931.139405,5000,53756.556426
3762.164118,5000,53844.106157
3851.081994,5000,53931.521852
4013.731158,5000,54019.112478
3862.814308,5000,54106.706064
4045.025997,5000,54193.722786
3765.948202,5000,54280.518221
3830.258298,5000,54367.887737
3727.648182,5000,54454.960245
3981.78089,5000,54542.628807
3811.07349,5000,54629.594281
3977.831306,5000,54717.317804
3924.97357,5000,54804.796323
3866.949724,5000,54892.867856
3967.169256,5000,54980.637351
3942.65585,5000,55068.251874
3918.839984,5000,55156.114404
3880.901493,5000,55244.297944
4129.631828,5000,55332.296476
3961.415841,5000,55420.474997
4110.753886,5000,55508.373493
4029.135673,5000,55596.131021
4076.969395,5000,55683.60954
4176.124013,5000,55772.3901
4036.12011,5000,55859.98462
4025.314511,5000,55947.891184
4089.17005,5000,56035.791686
4136.070915,5000,56123.189735
4094.180647,5000,56210.608252
4037.71275,5000,56298.053802
4163.702169,5000,56385.305284
4176.107861,5000,56472.710801
4102.375507,5000,56559.802359
4107.611862,5000,56647.257824
4132.802578,5000,56734.61034
3941.086582,5000,56821.712886
3980.527528,5000,56909.080365
3892.467163,5000,56996.075872
4013.954269,5000,57082.697366
3976.560046,5000,57170.613899
3960.033439,5000,57261.947531
3946.553231,5000,57349.304044
4213.148287,5000,57436.805601
4315.3251,5000,57523.997075
4262.803604,5000,57611.516622
4247.394882,5000,57699.360126
4334.208515,5000,57787.035652
4132.643769,5000,57874.638926
4331.419541,5000,57962.467664
4472.110336,5000,58050.759417
4152.544377,5000,58139.2411
4164.851826,5000,58227.782827
3909.056059,5000,58316.104579
4137.250212,5000,58404.532326
4167.425902,5000,58492.532069
4242.117065,5000,58580.84582
4216.430525,5000,58668.18255
4242.840442,5000,58756.282291
4140.15013,5000,58844.045034
4149.147064,5000,58932.482783
4288.220232,5000,59020.783554
4356.282078,5000,59109.166245
4244.729281,5000,59196.827894
4273.033865,5000,59284.06759
4054.535337,5000,59370.94731
4088.071017,5000,59458.006034
4301.008844,5000,59544.355775
4043.541522,5000,59632.091478
3970.161405,5000,59718.843195
4184.891853,5000,59806.118956
4085.190653,5000,59893.228649
3984.327381,5000,59980.360376
4016.7949,5000,60067.221122
4186.022284,5000,60153.880844
4122.352986,5000,60240.341524
4095.579576,5000,60327.038281
4059.993102,5000,60413.986001
4306.742073,5000,60500.826723
4112.702419,5000,60587.840444
4136.622435,5000,60675.670194
4147.313251,5000,60763.37792
4240.100584,5000,60851.577667
4156.977523,5000,60939.087402
4166.361778,5000,61027.609155
4073.172834,5000,61115.689865
4096.596422,5000,61203.723583
3986.748195,5000,61291.233315
4027.939743,5000,61379.494064
4255.427381,5000,61467.693699
3995.101227,5000,61555.951993
4138.226448,5000,61644.124292
3895.67642,5000,61732.391587
3860.510332,5000,61820.411888
3874.568898,5000,61908.796182
3958.343163,5000,61996.461471
4033.623246,5000,62083.660866
3942.934035,5000,62170.80217
3941.092259,5000,62258.301476
4061.999798,5000,62345.920748
4095.760618,5000,62433.15503
4003.104067,5000,62520.496311
4002.391143,5000,62608.32057
4205.6763,5000,62696.603893
4183.222205,5000,62784.247155
4067.414278,5000,62871.325438
4055.609892,5000,62957.584665
4037.908645,5000,63044.021936
4038.888635,5000,63130.758215
4218.150925,5000,63217.947493
4050.782063,5000,63304.850283
4196.364636,5000,63392.258597
4305.369353,5000,63479.721854
4292.940983,5000,63566.818162
4306.892294,5000,63654.61338
4178.309397,5000,63742.897674
4175.943434,5000,63830.611963
4248.625051,5000,63918.223253
4192.421307,5000,64005.574535
4287.441966,5000,64093.583831
4208.766342,5000,64181.89313
4271.668724,5000,64269.773418
4425.826638,5000,64362.890788
4178.371182,5000,64458.949506
4200.845886,5000,64546.533084
4236.484755,5000,64632.06891
4290.464185,5000,64719.336673
4182.295831,5000,64808.088094
4076.529498,5000,64894.283618
4175.183541,5000,64980.510318
4233.608116,5000,65068.061994
4213.981651,5000,65152.90613
4185.025786,5000,65237.8654
4388.279068,5000,65323.238013
4349.9224,5000,65408.01635
4298.360708,5000,65492.951051
4611.144106,5000,65578.39254
4413.628573,5000,65666.505696
4415.603343,5000,65751.713461
4518.360185,5000,65836.630811
4534.89182,5000,65921.982298
4714.460915,5000,66007.612685
4661.661086,5000,66093.265979
4554.911278,5000,66178.856034
4692.799788,5000,66264.033394
4648.984853,5000,66347.815813
4534.0785,5000,66433.077548
4690.40357,5000,66518.638346
4345.641109,5000,66604.108662
4379.176339,5000,66688.684564
4428.632546,5000,66773.473169
4633.798826,5000,66857.920475
4765.616054,5000,66943.393914
4819.815827,5000,67028.089635
4775.924294,5000,67113.570129
4843.561939,5000,67198.616873
4846.595766,5000,67284.119167
4842.037192,5000,67369.190507
